DATE,MONTH,TEMP
2019-12-15,12,7.5
2019-12-16,12,8.888888889
2019-12-17,12,2.166666667
2019-12-18,12,0.444444444
2019-12-19,12,0.722222222
2019-12-20,12,1.777777778
2019-12-21,12,6.611111111
2019-12-22,12,5
2019-12-23,12,1
2019-12-24,12,4.055555556
2019-12-25,12,4.388888889
2019-12-26,12,0.166666667
2019-12-27,12,3.888888889
2019-12-28,12,7.888888889
2019-12-29,12,6.777777778
2019-12-30,12,-2.666666667
2019-12-31,12,-2.555555556
